state_abbreviation,PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210,Bernie Sanders,Donald Trump,Hillary Clinton,John Kasich,Ted Cruz,HilaryPercent
IN,32252,32888,-1.9,32888,5.2,21.6,19.4,51.4,96.8,0.8,0.7,0.5,0,1.2,2.4,94.6,85.7,1.6,3.4,86.1,17,2489,19.2,14098,76.2,12.1,95000,12703,2.41,21201,45286,15.1,756,10901,0.6,1702,2571,0,0,0,0,0,30.7,1045382,168937,325620,9889,30325,24,412.43,79.7,0,0,0,0,0,0
AR,63201,61754,2.3,61754,6.2,22.8,14.4,50.1,92.4,3.2,1,1.2,0.1,2.1,8.4,84.8,83.4,3.5,6.9,81.9,20.7,4459,19.5,25915,69.8,14.2,110200,22603,2.63,19918,40453,19.3,1536,23438,0.5,3684,5192,0,0,0,0,1.8,21.3,1436684,234454,919267,15530,79437,53,812.55,76,0,0,0,0,0,0
OH,14465,14642,-1.2,14642,5.4,20.9,21.7,49.7,97.9,0.5,0.2,0.1,0,1.2,0.5,97.5,93.2,0.2,3.2,86.4,10.4,1440,32.1,7476,79,5.1,89100,6111,2.37,21487,40573,19,254,3379,-0.4,1035,1187,0,0,0,0,0,0,0,22787,62611,4401,4292,0,455.72,32.1,0,0,0,0,0,0
TN,26301,25834,1.8,25841,5.9,22,19.2,51.2,95.5,2,0.5,0.3,0.1,1.6,2.1,93.8,87.5,1,2.1,78.1,11,2279,23.9,11592,74.2,5.9,98000,9729,2.63,18205,34474,19.9,366,5128,-0.3,1923,2516,0,0,0,0,1.9,27.1,552177,28869,195438,7828,16760,6,376.67,68.6,0,0,0,0,0,0
CA,58267,55269,5.4,55269,6.7,26.8,11.4,49.8,88.4,1.3,3.1,3.5,0.4,3.3,58.3,36,83.1,20.1,38.6,76.9,18.2,2715,30.2,18113,61.6,13.6,343000,16995,3.28,25914,66237,11.9,927,10161,7.2,3307,3652,0,0,0,0,0,30.3,630311,319609,352941,6475,50184,105,1388.71,39.8,0,0,0,0,0,0
GA,10491,11004,-4.7,11008,6.6,25.2,18.4,52.8,48.2,49.9,0.4,0.6,0,0.9,2.2,46.5,91.3,0.8,1.5,76.7,12.9,728,22.7,4918,64.7,6.5,82400,4030,2.61,17579,28853,31.6,211,2843,4.1,647,961,0,0,0,0,0,0,832266,131927,75758,6416,6271,9,512.59,21.5,0,0,0,0,0,0
TN,39969,39840,0.3,39839,5.9,23.6,16.8,50.6,93.7,3.6,0.4,0.7,0.1,1.4,8.3,86.4,89.8,5.2,7.9,76.5,12.1,2709,23.9,17826,69.9,12.6,92400,15366,2.55,19531,34641,21.5,712,9911,3.5,2862,3886,1.1,0,0,0,0,21.8,852303,0,373696,9363,28791,52,432.68,92.1,0,0,0,0,0,0
MO,4000,4131,-3.2,4131,6.8,24.1,21,50.5,97.4,0.5,0.3,0.3,0,1.6,1.2,96.2,88.6,1.2,3.7,85,14.8,364,21.1,2271,74.8,4.8,64900,1724,2.33,20946,34481,26.3,94,683,-1.9,357,250,0,0,0,0,0,0,0,29859,27773,6876,614,0,504.01,8.2,0,0,0,0,0,0
SC,75192,74275,1.2,74273,5.4,20.4,21.6,50.5,89.5,7.8,0.3,0.8,0,1.6,4.8,85.2,84,3.2,4.7,83.1,21.7,7307,24.3,39128,75.2,9,136300,30106,2.45,23904,41394,19.1,1448,19716,-1.6,4474,6027,2.6,0,0,0,1.2,27.6,1546420,0,743455,10518,62807,243,626.33,118.6,0,0,0,0,0,0
IA,77400,66137,17,66135,8.2,28.6,11.2,51,92.7,1.8,0.4,3.6,0.1,1.4,6.3,87,86.9,6.6,8.6,94.4,43.6,3902,20.5,29884,77.4,17.5,184100,26262,2.63,35844,73847,6.4,1718,34419,1.1,5486,6613,0.6,0,2.2,0,1.1,19.9,574183,218271,905710,15813,110369,661,588.45,112.4,0,0,0,0,0,0
TX,159317,149610,6.5,149610,6.4,27,11.9,50.6,87,9.7,0.8,0.7,0.1,1.7,25.1,63.4,85,7.8,18.9,83.6,20.7,9986,29,57041,74.6,11.3,137500,51016,2.95,25662,61952,11.9,2614,36269,5.2,12541,14160,0,0,0,0,10.3,26.6,4080603,279168,1323106,9265,126593,1096,935.49,159.9,0,0,0,0,0,0
TN,23003,22248,3.4,22248,7,24.6,15.5,51.3,96.7,0.8,0.7,0.7,0,1,5,92.6,86.3,3.9,4.1,76.3,8.4,1280,30.8,9966,73.1,8.9,97900,8544,2.59,17009,35306,21.2,327,3294,2.3,1664,0,0,0,0,0,0,0,0,30350,167327,7713,11896,6,307.14,72.4,0,0,0,0,0,0
MI,155233,156817,-1,156813,6,22.5,17.8,51.2,79.7,15.4,0.6,1.9,0.1,2.3,5.1,75.3,87.1,5.6,7.8,87.4,24.2,11674,19.8,76768,72.1,17.6,129300,60414,2.51,24013,43633,17.5,3610,51314,-2,9735,13864,8.9,0,1.7,0,1.2,28.7,2298338,689088,1622828,10150,219492,184,567.75,276.2,0,0,0,0,0,0
MO,9457,9805,-3.5,9805,4.9,19,26.1,49.3,96.3,0.7,0.8,0.2,0,1.9,2.3,94.4,86.5,0.7,4.3,81.3,12.1,1004,22.8,5573,77.6,4.2,81600,4139,2.28,17337,31539,21.8,176,1344,-5.5,680,1039,0,0,0,0,0,28.3,0,0,64746,6861,5420,3,669.98,14.6,0,0,0,0,0,0
TX,314198,291304,7.9,291309,6.4,24.7,12.8,50.6,80.1,13.6,0.8,3.4,0.1,1.9,23.7,58.1,82.5,9.7,19.3,87.1,28.5,21663,26.7,139612,68.7,21.5,148600,110032,2.65,30926,61877,13.3,5378,81745,3,21630,22869,7.6,0,5.9,0,10.3,30,23480817,1761558,2750294,9700,590991,3006,378.36,769.9,0,0,0,0,0,0
TX,18176,18583,-2.2,18583,5.5,21.4,21.1,50.8,94.6,2.5,1.1,0.6,0.1,1.2,16,79.6,87.8,4,10.7,82,16,1657,21.2,10251,75.1,7.7,61200,6872,2.55,21125,34914,19,472,5395,9.5,1396,1747,0,0,0,0,0,23.4,135464,180763,259667,14170,17694,0,926.49,20.1,0,0,0,0,0,0
FL,556885,543378,2.5,543376,4.6,18.7,22.6,51.2,83.8,10.7,0.5,2.4,0.1,2.5,9.3,75.8,85.4,8.7,10.1,90.2,26.3,68817,23.7,272297,73.5,23.1,144900,220277,2.44,27009,48039,13.5,13084,161218,-0.9,39045,45939,6.1,0.4,2.9,0,5.3,30.4,6767571,1852661,6593988,12339,855503,1286,1015.66,535,0,0,0,0,0,0
TX,69789,67861,2.8,67861,4.2,15.6,11.4,41.2,73.4,23.1,0.8,1.2,0.1,1.4,17.8,57.1,80.9,7.3,15.7,81.7,17.9,5028,24,24937,57,26,109900,20558,2.26,16330,37617,26,946,11331,0.9,3745,4125,0,0,0,0,7.5,29,0,0,626334,9835,73827,222,784.17,86.5,0,0,0,0,0,0
FL,199798,190865,4.7,190865,5.5,24.2,14.2,50.8,82.4,10.9,0.5,3.2,0.2,2.9,9.2,74.8,85.3,6.6,9.8,90.2,24,26014,32.1,77439,76.6,11.8,158600,67805,2.82,26577,59482,9.8,3596,36060,2.5,11616,15242,6.3,0,4.2,0,4.5,28.8,0,394349,2005718,10997,213775,915,604.36,315.8,0,0,0,0,0,0
LA,26760,27979,-4.4,27979,7,24.3,16.9,51.8,50.3,47.9,0.2,0.5,0.1,1.1,1.2,49.6,93.9,0.5,1.6,76.9,12.9,2068,25.1,12535,66.7,8.6,74600,10482,2.55,16683,28585,26.5,452,5182,0.5,1745,1729,25.7,0,0,0,0,0,0,255319,241374,8443,19773,16,794.93,35.2,0,0,0,0,0,0
IN,32494,32428,0.2,32428,5.4,21.3,16.3,51.8,95.6,2,0.3,0.8,0,1.4,2.5,93.4,85.5,2,3.4,83.9,17.8,2668,22,14320,72.6,13.8,111500,12668,2.38,21524,43795,13.6,678,11028,1.7,1755,2651,0,0,0,0,0,0,1476978,0,382708,11801,43158,29,360.63,89.9,0,0,0,0,0,0
CO,8072,8270,-2.4,8270,6.2,22.5,17.2,44.8,94.1,2.5,1.1,0.6,0.2,1.5,19.3,76.1,83.2,9,15.2,84,13.5,799,12.5,3514,65.8,11.2,121600,3046,2.43,21850,44157,13.8,263,1952,0.7,657,834,0,0,0,0,0,39.3,0,166345,84356,10717,10306,2,2160.82,3.8,0,0,0,0,0,0
AL,11098,11665,-4.9,11670,5.7,24.8,17.7,52.4,28.1,71,0.2,0.1,0,0.6,1,27.6,93.8,0.1,0.9,76.1,11.1,462,21.6,5615,74.5,5.7,67000,3866,2.9,13379,23642,39.2,189,1738,-1.1,613,928,66.2,0,0,0,0,37.6,0,21337,75708,6018,12949,0,888.5,13.1,0,0,0,0,0,0
IN,16658,17238,-3.4,17240,5.8,22.6,19.2,50.2,97.7,0.4,0.4,0.3,0.1,1.1,2.6,95.4,84.9,1.3,2.8,85.5,11.9,1261,25.7,7801,76.5,6.7,88800,6925,2.44,23063,45884,11.9,322,4348,-4.3,941,1276,0,0,0,0,0,0,498444,124764,142465,8336,12013,2,395.66,43.6,0,0,0,0,0,0
CA,1482026,1418742,4.5,1418788,6.7,24.4,12.8,51.1,64.6,10.9,1.5,15.8,1.2,6,22.5,46.6,79.8,19.9,31.2,85.9,28,94398,25.7,561842,56.7,26.7,234200,517243,2.72,26739,55064,17.6,27571,428475,5.5,95166,108950,6.4,1.2,14.9,0.3,8.5,32.1,7282833,15728050,15599967,11357,2252889,1761,964.64,1470.8,0,0,0,0,0,0
MS,7833,8118,-3.5,8118,5.6,24.5,17.8,51.2,63.2,35.5,0.2,0.1,0,0.9,0.8,62.7,94,0.3,1.1,81.1,11.3,589,39.8,4157,79.6,3.2,63700,3311,2.39,24234,32372,23,117,1123,0,448,524,0,0,0,0,0,0,0,0,20884,2507,0,0,563.78,14.4,0,0,0,0,0,0
IA,5794,6119,-5.3,6119,4.6,20.2,24.3,51.6,98.2,0.4,0.2,0.5,0,0.7,1.1,97.3,89.9,0.6,1.2,90.3,16.6,557,18.2,2997,80.4,7.4,71100,2684,2.18,30919,48313,9.5,181,1176,-0.3,494,456,0,0,0,0,0,0,0,47778,37302,6083,0,5,442.96,13.8,0,0,0,0,0,0
TX,135143,131510,2.8,131506,7.3,24.6,13.9,51.1,86.6,7.8,1,1.9,0.1,2.6,23.6,65.2,76.9,5.7,15,85.4,24.4,12003,16,56716,60.8,19.5,95800,49304,2.56,23141,44891,17.4,3379,53910,0.6,9461,12030,0,0,0,0,0,22.1,0,1079748,2063290,16305,246182,278,915.55,143.6,0,0,0,0,0,0
VA,11103,11146,-0.4,11151,5.4,20,20.4,52.9,57.6,37.9,0.9,1,0.2,2.3,3.6,55.3,94.6,2.5,2.9,76.7,14.7,929,32.6,5796,76.2,8.6,160800,4286,2.57,21532,44885,11.1,297,3497,2,771,1078,0,0,0,0,0,0,56903,8496,224598,20827,19386,16,257.12,43.4,0,0,0,0,0,0
PA,440755,435002,1.3,434972,5.7,22.4,15.9,50.5,89.7,6.5,0.3,1.5,0.1,2,6.5,84.8,87.7,3.4,6.6,88.1,22,34528,26.6,180653,75.1,14.1,174200,167592,2.55,28132,58745,10.1,8578,159069,-0.5,24995,33591,0,0,1.9,0,1.6,29.1,11957398,3822893,4942667,11724,527937,816,904.18,481.1,0,0,0,0,0,0
TX,1879,2002,-6.1,2002,5.6,20.2,26,49.7,95.5,0.8,2.2,0.7,0,0.7,54.4,43.9,86.2,12.7,49.8,68.9,24.2,156,22.9,1608,91.6,0.5,70500,838,2.45,22015,43839,18.4,37,182,13,187,435,0,0,0,0,0,0,0,0,11690,6063,0,0,2117.86,0.9,0,0,0,0,0,0
MS,101688,95203,6.8,95203,6.5,25.6,12.3,52.1,58.1,38.3,0.4,2.4,0.1,0.8,2.8,55.9,88.6,4,5.8,89.2,45.8,5516,23,41147,70.3,19.2,201200,36342,2.63,33170,59904,12.7,2897,45064,5.3,9961,11036,17.5,0,1.9,0,0,24.7,6471938,3305948,1268437,14172,180563,742,714.51,133.2,0,0,0,0,0,0
MD,51675,51451,0.4,51454,4.5,17.9,25.3,51.4,82.7,13.7,0.4,1.4,0,1.8,3.5,79.8,89.4,5.1,6.7,89.3,27.6,5267,21.9,55764,78.4,46.8,253400,20530,2.47,32887,57952,10.9,2109,17295,2.5,4878,7514,0,0,0,0,0,0,154643,0,875104,17779,506848,200,468.28,109.9,0,0,0,0,0,0
GA,43752,43041,1.7,43041,5.9,23.2,17.4,52.6,90.7,4,1,2.5,0.3,1.4,13.6,78.7,91.1,8.6,13.8,77.9,17.1,3319,23.6,18111,76.3,7.5,137900,14805,2.74,18910,39306,20.8,802,11576,-2.2,2865,4315,0,0,0,0,0,24,968514,0,492128,11672,41762,35,276.74,155.5,0,0,0,0,0,0
CO,23865,23509,1.5,23509,4.4,19.2,12.3,47.6,96.4,0.6,0.6,0.8,0.1,1.5,7,90.1,81.3,3.5,4.7,96.9,48,1171,17.3,16387,70.6,33,390100,9647,2.38,34873,62002,9.1,1592,16630,-7.3,3543,4913,0,0.5,0,0,0,20.3,0,187821,421473,18866,184368,132,2362.03,10,0,0,0,0,0,0
SC,83160,76652,8.5,76652,5.7,21.9,18.8,50.9,74.6,22.7,0.4,0.9,0.1,1.3,5,70.2,88.1,3.1,5.2,82.3,18.7,6294,27.5,34103,75,8,142200,28956,2.64,21003,42217,21,1230,16615,9.5,4893,5111,9.3,0,1.6,0,1.7,23.4,1247597,0,587872,7998,56293,1063,549.16,139.6,0,0,0,0,0,0
SC,34113,34966,-2.4,34971,5.1,20.4,19.8,50.7,49.4,48.7,0.3,0.6,0,0.9,3,47.3,88.7,1.5,3.4,77.7,13,2909,28.3,17387,72.9,5.7,85900,12690,2.6,17665,31410,24.9,477,5454,4,2077,2730,30.1,0,1.9,0,0,35.4,291386,54836,296362,9062,29787,97,606.94,57.6,0,0,0,0,0,0
GA,6390,6863,-6.9,6865,4.5,18.8,19.1,52.3,41.3,56.6,0.4,0.2,0,1.5,2.1,40.1,92.1,0.8,2.8,76.7,12.3,541,31.5,3363,75.9,4.8,76500,2682,2.49,16993,32424,21.8,57,538,-1.5,506,777,46.3,0,0,0,0,0,0,0,4663,710,0,10,391.39,17.5,0,0,0,0,0,0
NE,301795,285407,5.7,285407,6.7,23.1,12.1,50,88.4,3.9,0.9,4.1,0.1,2.6,6.6,82.8,78.3,7,10.9,93.8,36.1,19683,18.2,124817,60.1,29.6,148600,115237,2.4,27141,51574,15.2,8049,127883,-2.3,19668,24564,1.6,0.4,2.4,0,2,27.5,0,2729850,3662691,13351,472514,1923,837.55,340.8,0,0,0,0,0,0
TN,33637,33361,0.8,33361,5.6,22.5,18.4,51.1,89.6,7.2,0.8,0.5,0.1,1.8,3.1,87.2,87.3,1.3,2.3,80.4,15.5,2382,27.2,15346,76.2,7.6,109400,13438,2.45,21811,41571,16.3,568,7372,9.8,2329,2511,0,0,0,0,0,0,0,147507,366545,11198,26170,3,570.34,58.5,0,0,0,0,0,0
NC,37792,38406,-1.6,38406,5.4,21.9,18.3,50.4,94.3,3.5,0.6,0.3,0.2,1.1,10.7,84.7,93.4,5.7,9.2,78.8,13.1,2514,28,17235,77.6,4.1,121100,14926,2.53,22726,40371,18.5,587,8582,1.1,2358,2691,0,0,0,0,0,0,0,101174,238645,6366,33597,36,334.83,114.7,0,0,0,0,0,0
IL,66988,67103,-0.2,67103,6.2,22.5,18.7,51.1,93.6,3.7,0.2,0.8,0,1.7,1.4,92.4,87.6,1.5,2.9,89.7,21.3,5862,16.6,29967,72,16.2,104200,26912,2.43,24217,45073,14.4,1833,31182,3.5,3874,5561,0,0.5,1.5,0,0,24.6,0,0,928289,13888,0,83,855.2,78.5,0,0,0,0,0,0
WV,86237,86956,-0.8,86956,5.4,21.1,18.6,51.6,96.4,1.2,0.2,0.6,0,1.5,1,95.5,88.9,0.8,1.7,88.8,18.4,8194,19.1,40245,73.1,14.5,106400,35569,2.41,24042,42287,16.2,2052,33351,0.7,4206,5173,0,0,0,0,0.7,26.5,0,330697,1712248,19847,157906,105,366.26,237.4,0,0,0,0,0,0
LA,11843,12099,-2.1,12093,7.7,24.6,12.9,50.4,36.3,62.1,0.3,0.3,0,1,1.7,35,81.4,0.2,1.3,74.5,11.2,738,15.3,4925,53.9,14,69500,4068,2.58,13585,25498,40.3,212,2421,-2.6,712,968,37.6,0,0,0,0,36,0,153183,142503,12081,9396,49,624.44,19.4,0,0,0,0,0,0
MO,4829,4979,-3,4979,4.9,21.3,23.6,49.1,98.1,0.3,0.2,0.5,0,1,1.4,96.8,87.4,1.1,1.9,84.7,13.7,506,22,2964,74.6,7.5,100300,2230,2.18,19397,36713,18.8,84,602,4.5,438,503,0,0,0,0,0,0,0,0,38629,7916,453,3,517.32,9.6,0,0,0,0,0,0
TX,5460,4799,13.8,4799,8.9,30.2,12.2,50.2,94.7,2.3,1.3,0.3,0.1,1.2,45.6,51.1,85.2,11.8,29.4,70.1,10.9,236,18.2,1863,74.8,4.5,72200,1555,3.13,20859,42607,15.8,99,1104,9.9,383,0,0,0,0,0,0,0,0,24422,45368,10274,0,3,914.94,5.2,0,0,0,0,0,0
WI,15050,15404,-2.3,15404,5,19.6,22.6,49.2,97.1,0.5,0.7,0.6,0,1.1,2.9,94.4,88.1,1.4,4,87,12.9,1696,28.2,9858,79.9,5.7,142000,6453,2.34,23490,46077,13.6,290,3618,3.4,1021,1169,0,0,0,0,0,18.2,254802,12198,79688,5363,0,28,455.6,33.8,0,0,0,0,0,0
SC,66533,66539,0,66537,5.9,22.4,16.7,51.5,71.8,26,0.4,0.4,0.1,1.3,4.4,68.3,86.5,2.5,4.6,78.2,14.5,4965,24.6,30617,71.7,7,81800,25184,2.54,19153,37383,20.6,935,16339,-2.4,3148,3863,12.1,0,1.7,0,0,29.3,1562273,66953,370058,5315,53708,88,713.8,93.2,0,0,0,0,0,0
WV,190223,193058,-1.5,193063,5.6,20.5,18.1,51.8,88.9,7.6,0.2,1.2,0,2.2,1.1,88,87.5,1.5,2.1,87.9,25,16579,21.7,92420,71,17.8,101600,82756,2.29,28174,46085,14.1,5185,87931,0.4,9314,14196,2.5,0,1.6,0,0,26.3,0,1726956,2947318,15429,414905,296,901.59,214.1,0,0,0,0,0,0
TX,12739,12651,0.7,12651,7.9,26.9,14.6,47.2,91.9,5.2,1.1,0.6,0,1.2,53.2,41.3,79.7,9.8,35.9,69.1,15.5,490,20,4860,72.2,7.2,64900,4067,2.83,21201,37679,14,235,2423,-0.3,606,703,0,0,0,0,0,20.7,0,87341,133700,11012,9946,3,888.84,14.2,0,0,0,0,0,0
TX,1536,1637,-6.2,1637,5.5,21.8,23.9,50.5,94.5,2.9,0.6,0.1,0,1.9,27.7,67.8,93.3,10.5,19.6,75.8,17.8,93,18.9,953,78.8,3.8,51600,605,2.67,20697,36250,18.6,39,129,-4.4,137,198,0,0,0,0,0,0,0,5352,6660,4458,338,0,900,1.8,0,0,0,0,0,0
TX,65301,64524,1.2,64524,7.2,23.5,13.1,52.3,77.3,18.3,0.9,1.7,0.1,1.7,18.5,60.3,77.3,9.2,16.2,80.5,24.3,3412,18.7,27960,58.1,20.1,101700,23586,2.52,20362,36777,25.7,1301,17763,2.9,3830,4826,8.1,0,0,0,3.4,19.1,1418896,0,691236,11048,87801,68,946.54,68.2,0,0,0,0,0,0
OR,1710,1765,-3.1,1765,3.6,18,24.8,50.4,94.9,0.6,2.3,0.2,0.1,1.8,6.8,89.4,86.1,2.4,2.6,92.4,16.5,235,20.5,906,64.9,5.5,135400,827,2.24,24314,42639,22.1,52,426,16.7,108,146,0,0,0,0,0,0,0,12037,56043,33162,5895,0,823.69,2.1,0,0,0,0,0,0
TX,40147,37890,6,37890,6,20.8,13.7,50.9,94.6,1.7,1.4,0.8,0.1,1.4,20.1,76,80.5,8.5,18,82,24.3,2299,18.2,17460,59.9,14.5,111100,14383,2.57,21670,39586,22.3,915,11608,-1,2823,3925,0,0,0,0,0,0,849331,0,445038,12543,55362,85,1083.07,35,0,0,0,0,0,0
LA,40333,41207,-2.1,41207,6.2,23.3,18.1,51.2,63.7,34,0.5,0.5,0,1.3,1.8,62.4,86.2,0.7,2,78,13.6,3407,23.8,19428,69.2,8.9,79300,15980,2.5,19871,35071,21.9,807,10854,-2,2668,2703,14.9,0,0,0,0,31.8,711994,0,484791,11899,28725,29,593.03,69.5,0,0,0,0,0,0
OR,101758,99193,2.6,99193,5.7,23.3,15.6,50.1,92,1.1,2,1.8,0.2,3,15.7,77.9,84,8.5,14,88,22.5,7554,23.4,37522,68.8,16.3,224900,34138,2.77,24290,54535,14.6,2315,25887,-3.8,5581,7866,0,0,0,0,0,25,1885753,396840,951130,9890,98905,376,715.86,138.6,0,0,0,0,0,0
IA,15117,15673,-3.5,15673,5.6,23,19.4,50.7,95.4,0.8,0.4,2.1,0,1.3,5.4,90.6,85,2.2,6,89.7,18,1323,17.6,7184,71,15.7,91400,6395,2.39,24510,43589,12.3,383,4304,0.5,1059,1551,0,0,0,0,0,23.9,1162374,558307,149277,9607,12245,5,576.75,27.2,0,0,0,0,0,0
MS,85246,82910,2.8,82910,7,25.8,14.3,52.2,69,28.7,0.2,0.8,0,1.2,2.5,66.9,86.6,2,4.4,82.9,21.8,5227,18.8,36216,70.9,15,108300,31898,2.59,21799,42074,18.3,2422,45839,-0.5,5659,6912,7.8,0,0.7,0,0.6,21.8,2986825,847900,1439479,17967,148229,98,449.95,184.3,0,0,0,0,0,0
PA,1231255,1223348,0.6,1223348,5.3,19,17.4,51.8,81,13.4,0.2,3.4,0,2,1.9,79.6,87.1,5,6.9,92.9,35.9,93347,26,589709,65.5,26.8,122400,526004,2.26,31593,51366,12.9,33583,696023,0.5,74402,95698,5.2,0.2,3.1,0,1,27.6,15725247,18141618,20075411,16456,2540334,2343,730.08,1675.6,0,0,0,0,0,0
TX,7549,7210,4.7,7210,4.7,21.7,20.3,50.1,92.3,5.2,1,0.4,0,1.1,35.7,58.5,87.9,2.1,20.1,85.7,14.2,704,29.4,3714,81.1,4.1,111600,3028,2.35,30031,50923,14.7,115,831,-14.9,558,548,0,0,0,0,0,29.2,0,0,37331,5332,3895,0,852.01,8.5,0,0,0,0,0,0
MI,258818,250331,3.4,250331,6,22.1,13.5,51,82.1,11.4,0.5,2.6,0.1,3.3,4.7,78.5,78.8,4.8,7,92.6,34,15405,20,110316,64.7,27.9,136700,100072,2.44,25757,45775,19.1,5507,103221,0.6,15771,21093,6,0,2.1,0,0.7,31.7,7145875,1207153,2808829,11481,414648,480,561.66,445.7,0,0,0,0,0,0
LA,117029,107194,9.2,107215,7.1,27.6,10.2,50.7,74.1,22.9,0.4,1.3,0.1,1.2,5.2,69.5,88.2,3.1,6.8,89,24.9,6653,28.9,44102,81.6,6.5,167400,38287,2.85,28178,69070,12.3,2094,35665,7.4,7976,8540,0,0,1.4,0,3.1,31.8,0,664953,1317978,13219,116260,926,289.98,369.7,0,0,0,0,0,0
TX,47894,46006,4.1,46006,5.5,23.9,15.5,48.4,93.9,2.8,1,0.9,0.1,1.2,50.9,44.9,89.4,5.5,34,80.5,20,4392,29.7,18080,78.1,5.6,112900,15284,2.86,22413,55326,17.7,687,6548,6.9,3142,3877,0,0,0,0,28.6,0,75313,189912,360081,8231,29785,49,1325.36,34.7,0,0,0,0,0,0
LA,52132,52334,-0.4,52334,8.9,26.6,10.5,47.2,77.5,14.8,1.7,2,0.5,3.6,9.6,69.8,78.9,3.5,7.8,86.4,18.8,6560,20.6,21742,54.7,22.6,90800,18148,2.76,21396,46572,13.5,728,9040,0.2,2026,2321,0,0,0,0,0,34,0,51603,315686,6692,39827,76,1327.91,39.4,0,0,0,0,0,0
TN,19268,18723,2.9,18723,5.8,22.6,17.5,50.4,95.9,2.1,0.3,0.4,0,1.3,7.5,89.4,86.3,5.7,6.7,75.6,13.3,1334,23.6,9434,72.6,7.8,115100,7037,2.62,21606,37482,19,292,4137,-13.1,1283,1726,0,0,0,0,0,24.2,743834,8484,119410,6424,12131,7,304.35,61.5,0,0,0,0,0,0
LA,384320,343829,11.8,343829,6.1,20.4,12.1,52.2,35.3,59.8,0.4,3,0.1,1.5,5.5,31.2,81.7,5.9,9.8,84.5,33.7,19685,23,192445,47.3,41.4,183700,148398,2.32,26500,37146,27.3,8669,164374,4,34136,27165,28.9,0.7,5.2,0,4.1,30.4,3088945,1938441,2718026,9434,2148176,1026,169.42,2029.4,0,0,0,0,0,0
NC,12948,13144,-1.5,13144,3.8,16.5,26,48.7,77,20.1,0.7,0.6,0.1,1.5,3.5,74.1,85.7,4.1,6.1,85.7,18.7,1459,24.5,7592,81.6,2.5,157500,5146,2.42,23724,43853,13.8,271,2489,0.6,1001,0,0,0,0,0,0,0,0,20693,68916,5546,23793,0,336.54,39.1,0,0,0,0,0,0
IA,48051,49116,-2.2,49116,6.1,22.7,18.3,50.9,94,3.2,0.3,0.6,0,1.8,2.9,91.5,87.7,1.5,2.3,90,17.7,4259,19.2,21792,74.4,16.8,110300,20008,2.4,25966,49559,14,1181,27036,1.2,2677,3491,0,0,0.9,0,0,0,3914945,190114,635654,12950,54058,102,694.92,70.7,0,0,0,0,0,0
TX,23577,22935,2.8,22935,7.4,26.9,13.5,50.6,92.3,4.4,1.5,0.5,0,1.3,46.7,48,80,7.4,31.4,77.3,17.4,1163,19.5,9291,69.7,8.5,79300,7973,2.81,21984,50565,15.7,517,7038,3.7,1297,1930,0,0,0,0,0,22,0,0,201686,9075,19778,15,908.39,25.2,0,0,0,0,0,0
SC,175852,162233,8.4,162233,5.8,19.9,24.1,50.9,77.1,19.1,0.4,1.4,0.1,1.8,11.4,67.1,81.7,10.3,13.9,91.3,37.6,18885,20.9,94287,71.4,24.4,275500,64417,2.46,32503,57316,12.5,4800,49929,0.8,14067,16367,7.4,0,1.7,0,2,25.5,223434,298190,2255071,15240,530485,1197,576.28,281.5,0,0,0,0,0,0
TN,13279,13324,-0.3,13324,5.1,21.5,18.9,49.7,94.4,1.9,0.8,1.1,0,1.8,2.5,92.2,91.7,1.5,2,84.4,11.7,1650,35.7,6758,78.7,3.4,118900,5292,2.49,21701,39781,20,147,1354,-3.9,796,1193,0,0,0,0,0,0,0,0,63737,4889,6112,18,459.33,29,0,0,0,0,0,0
TX,218842,209714,4.4,209714,7,24.9,15.5,51.7,78.1,17.9,0.8,1.5,0.1,1.6,18.7,60.7,81.2,9.1,16.9,85.2,24.5,15549,22.1,88440,67,17.1,120800,78459,2.64,25626,47432,16.7,5668,89369,3.7,17017,21265,7.2,0,0,0,6.9,22.2,5423538,922104,3110146,15706,337268,389,921.45,227.6,0,0,0,0,0,0
CA,279083,269593,3.5,269637,4.8,18.1,17.5,49.1,89,2.2,1.4,3.8,0.2,3.4,22,69.5,78.9,10.4,18,89.6,31.5,21244,21.1,119143,58.4,18.4,426600,102154,2.5,29954,58697,14.3,7873,86125,2.7,23558,29920,0,1.1,3.6,0,7.9,27.7,2548202,955049,3548407,13559,767899,983,3298.57,81.7,0,0,0,0,0,0
